Category: Picked for you
Name: COCA COLA MEXICO 355ML | Price: LKR 4.78
Name: GATORADE BLUECOOL ZERO SUGAR 710ML | Price: LKR 4.49
Name: GATORADE COOL BLUE ZERO SUGAR 828ML | Price: LKR 5.49
Name: PERRIER NATURAL 1L | Price: LKR 4.99
Name: SNICKERS ICE CREAM BAR 83ml | Price: LKR 4.64


Category: CHOCOLATES
Name: KINDER BUENO 43g | Price: LKR 2.81
Name: KIT KAT 45g | Price: LKR 2.81
Name: TWIX KING SIZE 85g | Price: LKR 4.19
Name: REESE PEANUT BUTTER FAMILY BAR120g | Price: LKR 5.99
Name: MALTESERS SHARING SIZE100g | Price: LKR 5.99
Name: MR.BIG 60g | Price: LKR 2.81
Name: MARS SINGLE 52g | Price: LKR 2.81
Name: DAIRY MILK OREO FAMILY BAR95g | Price: LKR 5.99
Name: EAT-MORE 52g | Price: LKR 2.81
Name: REESE PEANUT BUTTERCUP KING SIZE62g | Price: LKR 4.19
Name: REESE PEANUT BUTTERCUP 46g | Price: LKR 2.81
Name: SNICKERS BAR 52g | Price: LKR 2.81
Name: snicker king size 93g | Price: LKR 4.19
Name: NESTLE COFFE CRISP BAR 50g | Price: LKR 2.81
Name: MR BIG KING SIZE90g | Price: LKR 4.19
Name: COFFE CRISP KING SIZE75g | Price: LKR 4.19
Name: oh HENRY BAR KING SIZE85g | Price: LKR 4.19
Name: CRUNCHIE KING SIZE66g | Price: LKR 4.19
Name: REESE STICKS KING SIZE85g | Price: LKR 4.19
Name: KIT KAT KING SIZE73g | Price: LKR 4.19
Name: NESTLE AERO 3TO SHARE KING SIZE63g | Price: LKR 4.19
Name: KIT KAT CHUNKY 45g | Price: LKR 2.81
Name: CARAMILK SINGLE BAR 50g | Price: LKR 2.81
Name: REESE PEANUT BUTTERCUP WITH REESE PEICES79g | Price: LKR 4.19
Name: TOBLERONE KING SIZE100g | Price: LKR 5.89
Name: AERO PEPPERMINT 41g | Price: LKR 2.81
Name: SKITTLES BERRY 61G | Price: LKR 2.81
Name: AFTER EIGHT 40g | Price: LKR 2.81
Name: TURTLES KING SIZE67g | Price: LKR 4.19
Name: NESTLE AERO BAR 42g | Price: LKR 2.81
Name: MARS KING SIZE 85g | Price: LKR 4.19
Name: OH HENRY BAR 58g | Price: LKR 2.81
Name: REESE MINI SHARING SIZE110g | Price: LKR 5.99


Category: CHOCOLATE BARS
Name: MALTESERS 37g | Price: LKR 2.81
Name: KINDER BUENO WHITE 39G | Price: LKR 3.89
Name: TWIX 50g | Price: LKR 2.81
Name: DAIRY MILK MINI EGGS BAR 100g | Price: LKR 5.99
Name: REESE'S WHITE 39G | Price: LKR 3.25
Name: KIT KAT DUOS STRAWBERRY + DARK CHOCOLATE 85g | Price: LKR 5.99
Name: REESE'S BIG CUP US KING 79G | Price: LKR 5.99
Name: KIT KAT DUOS MINT+DARK CHOCOLATE 85g | Price: LKR 5.99
Name: KIT KAT DUOS MOCHA + CHOCOLATE 85g | Price: LKR 5.99
Name: REESE'S BAR 120g | Price: LKR 5.99
Name: REESE'S PRETZELS KING SIZE 73G | Price: LKR 5.99
Name: AERO WHITE 41g | Price: LKR 2.81
